WeaponID,name,variety,rarity,baseProperty1,baseProperty2,intro,skillname,obtain,tag,LABEL
w0,岩峰巡歌,单手剑,★★★★★,攻击力 44-542,防御力% 18.0%-82.7%,N/A,不凋的盛年,限定祈愿,防御力、伤害加成、层数叠加,Weapon
w1,猎人之径,弓,★★★★★,攻击力 44-542,暴击率 9.6%-44.1%,N/A,兽径的终点,限定祈愿,元素伤害、重击、技能倍率,Weapon
w2,柔灯挽歌,长柄武器,★★★★★,攻击力 46-608,暴击率 7.2%-33.1%,装饰着苍水晶的华美长枪，据说曾是某位传奇决斗代理人终生珍藏却从未使用过的武器。,白晓的序曲,限定祈愿,能量回复、伤害加成、攻击力,Weapon
w3,山王长牙,双手剑,★★★★★,攻击力 49-741,暴击率 2.4%-11.0%,由纯然的绿松石锻造而成的巨剑，因其远超一般兵刃的重量而被冠以「山王」康加玛托之名。,绿松石之狩,限定祈愿,层数叠加、元素战技、元素爆发、伤害加成、元素反应,Weapon
w4,赤沙之杖,长柄武器,★★★★★,攻击力 44-542,暴击率 9.6%-44.1%,黑曜石塑造的一对的权杖中的一件。在传说中，具有引领沙之民的权威，但如今已经没有能辨别出这件王器形象的臣子了。,蜃气尽头的热梦,限定祈愿,攻击力、层数叠加,Weapon
w5,白雨心弦,弓,★★★★★,攻击力 44-542,生命值 14.4%-66.2%,N/A,德吕阿的夜曲,限定祈愿,生命值、层数叠加、暴击率,Weapon
w6,冲浪时光,法器,★★★★★,攻击力 44-542,暴击伤害 19.2%-88.2%,原本预订发放给「第一届全部族冲浪竞速锦标赛」冠军的纪念品。鉴于赛事目前尚处于筹备阶段，奖品便被临时寄存在了「悠游豚豚」内，由店主代为保管。,水色回忆,限定祈愿,生命值、普通攻击、层数叠加、伤害加成,Weapon
w7,赦罪,单手剑,★★★★★,攻击力 48-674,暴击伤害 9.6%-44.1%,曾经弃绝一切的骗徒使用过的刺剑，过去主要是他伪装身份活动时用的道具。,死之契,限定祈愿,暴击伤害、伤害加成、层数叠加,Weapon
w8,圣显之钥,单手剑,★★★★★,攻击力 44-542,生命值 14.4%-66.2%,黑曜石塑造的一对的权杖中的一件。在传说中，隐藏在沙海尽头的乐园门扉是由这柄密钥开启的。,沉入沙海的史诗,限定祈愿,生命值、元素精通、群体辅助,Weapon
w9,千夜浮梦,法器,★★★★★,攻击力 44-542,元素精通 58-265,浮映千夜之梦的灯盏，苍翠的光中流溢着遥世的歌。,千夜的曙歌,限定祈愿,元素精通、元素伤害、效果叠加、群体辅助、对象限制,Weapon
