MaterialID,name,rarity,type,source,intro,relatedFood,relatedWeapon,LABEL
m0,「诤言」的教导,2星,角色天赋素材,活动获得秘境获得昏识塔精通秘境:圆镜Ⅰ/Ⅱ/Ⅲ/Ⅳ（昏识塔限时开启）时间：周一/周四/周日,「诤言」是智慧之国的枝干。诤言出于纯净的心智。唯有清醒纯善的言语，方能表达深秘的智慧，令睿智之种突破傲慢的壅阻，生根繁茂。,N/A,N/A,Material
m1,「笃行」的教导,2星,角色天赋素材,活动获得秘境获得昏识塔精通秘境:律藏Ⅰ/Ⅱ/Ⅲ/Ⅳ（昏识塔限时开启）时间：周三/周六/周日,N/A,N/A,N/A,Material
m2,「天光」的教导,2星,角色天赋素材,活动获得秘境获得菫色之庭精通秘境:真葛废都I/II/III/IV（菫色之庭限时开启）时间：周三/周六/周日,N/A,N/A,N/A,Material
m3,「浮世」的教导,2星,角色天赋素材,活动获得秘境获得菫色之庭在稻妻开启宝箱时概率获得精通秘境:菫染之国Ⅰ/Ⅱ/Ⅲ/Ⅳ（菫色之庭限时开启）时间：周一/周四/周日,雷之国土的梦想是浮世。浮世之荣华乃是人之美的最高体现。人之在世岂不与疾电相类？如美梦或花火般浮华一瞬，在永恒的夜幕中留下绚烂的印记。,N/A,N/A,Material
m4,「风雅」的教导,2星,角色天赋素材,活动获得秘境获得菫色之庭精通秘境:初雷幽谷Ⅰ/Ⅱ/Ⅲ/Ⅳ（菫色之庭限时开启）时间：周二/周五/周日,雷之国土的姿容是风雅。风雅是不谄媚。风雅之人永远是高贵的。正似只愿高飞与雷暴争鸣的海鹰;迎合鄙俗则恰如将花冠倒插泥淖，仅让尊严染上了污渍。,N/A,N/A,Material
m5,「巧思」的教导,2星,角色天赋素材,活动获得秘境获得昏识塔精通秘境:妙语Ⅰ/Ⅱ/Ⅲ/Ⅳ（昏识塔限时开启）时间：周二/周五/周日,「巧思」是智慧之国的叶脉。巧思生自良善的意旨。所谓「毒树不结善果」，良善坚定的意念才能孕育巧妙周到的思谋，方不沾染智慧之名。,N/A,N/A,Material
m6,东风之爪,5星,天赋培养素材,周常BOSS掉落70级以上风魔龙挑战奖励,"从蒙德的东风之主身上，取下的一丝锋锐。
因为过去撕裂了伟大魔龙「杜林」的血肉的缘故，过去蕴含着骇人的猛毒。但经过你的净化与治愈，其中躁动的毒性终于平息。",N/A,N/A,Material
m7,雾海云间的转还,5星,武器突破素材,秘境获得合成获得震雷连山密宫炼武秘境:鸣雷城虚Ⅳ（震雷连山密宫限时开启）时间：周二/周五/周日,赋予武器突破之力的材料。这是金丹的最高品质，它模拟了混沌初开、清浊不分、天地一体的状态。据说这个是天地创世的缩影。当然，那位是知道的，世界的重现不是这样的。,N/A,N/A,Material
m8,孤云寒林的神体,5星,武器突破素材,秘境获得合成获得震雷连山密宫炼武秘境:雷云祭坛Ⅳ（震雷连山密宫限时开启）时间：周一/周四/周日,赋予武器突破之力的材料。于此躁动、作崇的，正是嗟叹连绵的众神圣骸之体。它们是未能实现的理想，对人类另一种幸福生活的描绘。它们以深海、层岩收纳，却不愿意就此入梦。,N/A,"和璞鸢
 斫峰之刃
 若水
 碧落之珑
 黑岩绯玉
 白影剑
 黑岩长剑
 流月针
 弓藏
 匣里日月
 黑岩战弓
 千岩古剑
 遗祀玉珑
 匣里龙吟
 暗铁剑
 白缨枪
 翡玉法球
 弹弓",Material
m9,漆黑陨铁的一块,5星,武器突破素材,秘境获得合成获得震雷连山密宫炼武秘境:古雷试炼场Ⅳ（震雷连山密宫限时开启）时间：周三/周六/周日,N/A,N/A,"尘世之锁
 贯虹之槊
 护摩之杖
 万国诸海图谱
 试作古华
 铁蜂刺
 试作星镰
 钢轮弓
 螭骨剑
 千岩长枪
 衔珠海皇
 落霞
 筑云
 飞天御剑
 飞天大御剑
 黑缨枪",Material
